buffer_size,num_producers,num_consumers,cs_length,upper_limit,time_ms
10,1,1,0,700000,238
10,1,5,0,700000,421
10,1,10,0,700000,443
10,5,1,0,700000,405
10,5,5,0,700000,416
10,5,10,0,700000,482
10,10,1,0,700000,427
10,10,5,0,700000,509
10,10,10,0,700000,555
20,1,1,0,700000,228
20,1,5,0,700000,396
20,1,10,0,700000,432
20,5,1,0,700000,437
20,5,5,0,700000,386
20,5,10,0,700000,485
20,10,1,0,700000,471
20,10,5,0,700000,446
20,10,10,0,700000,394
30,1,1,0,700000,144
30,1,5,0,700000,433
30,1,10,0,700000,414
30,5,1,0,700000,404
30,5,5,0,700000,323
30,5,10,0,700000,478
30,10,1,0,700000,426
30,10,5,0,700000,440
30,10,10,0,700000,349
40,1,1,0,700000,186
40,1,5,0,700000,361
40,1,10,0,700000,436
40,5,1,0,700000,365
40,5,5,0,700000,317
40,5,10,0,700000,470
40,10,1,0,700000,456
40,10,5,0,700000,444
40,10,10,0,700000,323
50,1,1,0,700000,158
50,1,5,0,700000,385
50,1,10,0,700000,403
50,5,1,0,700000,352
50,5,5,0,700000,327
50,5,10,0,700000,459
50,10,1,0,700000,428
50,10,5,0,700000,436
50,10,10,0,700000,316
100,1,1,0,700000,203
100,1,5,0,700000,377
100,1,10,0,700000,449
100,5,1,0,700000,346
100,5,5,0,700000,270
100,5,10,0,700000,461
100,10,1,0,700000,456
100,10,5,0,700000,441
100,10,10,0,700000,289
10,1,1,100,700000,404
10,1,5,100,700000,699
10,1,10,100,700000,739
10,5,1,100,700000,692
10,5,5,100,700000,623
10,5,10,100,700000,724
10,10,1,100,700000,758
10,10,5,100,700000,771
10,10,10,100,700000,789
20,1,1,100,700000,284
20,1,5,100,700000,692
20,1,10,100,700000,719
20,5,1,100,700000,719
20,5,5,100,700000,595
20,5,10,100,700000,731
20,10,1,100,700000,729
20,10,5,100,700000,764
20,10,10,100,700000,669
30,1,1,100,700000,285
30,1,5,100,700000,709
30,1,10,100,700000,777
30,5,1,100,700000,714
30,5,5,100,700000,574
30,5,10,100,700000,703
30,10,1,100,700000,802
30,10,5,100,700000,712
30,10,10,100,700000,628
40,1,1,100,700000,259
40,1,5,100,700000,715
40,1,10,100,700000,730
40,5,1,100,700000,680
40,5,5,100,700000,618
40,5,10,100,700000,711
40,10,1,100,700000,712
40,10,5,100,700000,694
40,10,10,100,700000,659
50,1,1,100,700000,245
50,1,5,100,700000,689
50,1,10,100,700000,719
50,5,1,100,700000,750
50,5,5,100,700000,564
50,5,10,100,700000,709
50,10,1,100,700000,720
50,10,5,100,700000,707
50,10,10,100,700000,652
100,1,1,100,700000,241
100,1,5,100,700000,773
100,1,10,100,700000,720
100,5,1,100,700000,711
100,5,5,100,700000,610
100,5,10,100,700000,707
100,10,1,100,700000,719
100,10,5,100,700000,701
100,10,10,100,700000,601
10,1,1,10000,700000,6199
10,1,5,10000,700000,7051
10,1,10,10000,700000,7578
10,5,1,10000,700000,7074
10,5,5,10000,700000,8603
10,5,10,10000,700000,9644
10,10,1,10000,700000,7928
10,10,5,10000,700000,9896
10,10,10,10000,700000,9642
20,1,1,10000,700000,5502
20,1,5,10000,700000,6982
20,1,10,10000,700000,6770
20,5,1,10000,700000,6753
20,5,5,10000,700000,7727
20,5,10,10000,700000,8391
20,10,1,10000,700000,6681
20,10,5,10000,700000,8489
20,10,10,10000,700000,9063
30,1,1,10000,700000,5635
30,1,5,10000,700000,6759
30,1,10,10000,700000,7126
30,5,1,10000,700000,6386
30,5,5,10000,700000,7426
30,5,10,10000,700000,8202
30,10,1,10000,700000,6742
30,10,5,10000,700000,7459
30,10,10,10000,700000,8334
40,1,1,10000,700000,5897
40,1,5,10000,700000,6701
40,1,10,10000,700000,7017
40,5,1,10000,700000,6139
40,5,5,10000,700000,6918
40,5,10,10000,700000,7329
40,10,1,10000,700000,6571
40,10,5,10000,700000,7481
40,10,10,10000,700000,7863
50,1,1,10000,700000,6156
50,1,5,10000,700000,6707
50,1,10,10000,700000,6536
50,5,1,10000,700000,6080
50,5,5,10000,700000,6690
50,5,10,10000,700000,7212
50,10,1,10000,700000,6565
50,10,5,10000,700000,7016
50,10,10,10000,700000,7591
100,1,1,10000,700000,5659
100,1,5,10000,700000,6130
100,1,10,10000,700000,6682
100,5,1,10000,700000,6054
100,5,5,10000,700000,6210
100,5,10,10000,700000,7474
100,10,1,10000,700000,6139
100,10,5,10000,700000,7561
100,10,10,10000,700000,6740
