buffer_size,num_producers,num_consumers,cs_length,upper_limit,time_ms
10,1,1,0,7000000,1613
10,1,5,0,7000000,1488
10,1,10,0,7000000,3825
10,5,1,0,7000000,2539
10,5,5,0,7000000,3663
10,5,10,0,7000000,4364
10,10,1,0,7000000,2555
10,10,5,0,7000000,4295
10,10,10,0,7000000,3826
20,1,1,0,7000000,1545
20,1,5,0,7000000,2091
20,1,10,0,7000000,4468
20,5,1,0,7000000,1394
20,5,5,0,7000000,3809
20,5,10,0,7000000,3607
20,10,1,0,7000000,4370
20,10,5,0,7000000,3881
20,10,10,0,7000000,3919
30,1,1,0,7000000,1508
30,1,5,0,7000000,1360
30,1,10,0,7000000,2467
30,5,1,0,7000000,2441
30,5,5,0,7000000,3471
30,5,10,0,7000000,2400
30,10,1,0,7000000,3691
30,10,5,0,7000000,4135
30,10,10,0,7000000,4024
40,1,1,0,7000000,1587
40,1,5,0,7000000,1444
40,1,10,0,7000000,3949
40,5,1,0,7000000,2661
40,5,5,0,7000000,1880
40,5,10,0,7000000,4158
40,10,1,0,7000000,4637
40,10,5,0,7000000,4467
40,10,10,0,7000000,3946
50,1,1,0,7000000,1678
50,1,5,0,7000000,2285
50,1,10,0,7000000,5015
50,5,1,0,7000000,1453
50,5,5,0,7000000,3760
50,5,10,0,7000000,4131
50,10,1,0,7000000,4698
50,10,5,0,7000000,2536
50,10,10,0,7000000,3928
100,1,1,0,7000000,1701
100,1,5,0,7000000,2082
100,1,10,0,7000000,3532
100,5,1,0,7000000,2750
100,5,5,0,7000000,3334
100,5,10,0,7000000,3899
100,10,1,0,7000000,3442
100,10,5,0,7000000,3842
100,10,10,0,7000000,3741
10,1,1,400,7000000,3502
10,1,5,400,7000000,3325
10,1,10,400,7000000,6379
10,5,1,400,7000000,4267
10,5,5,400,7000000,4977
10,5,10,400,7000000,4945
10,10,1,400,7000000,8289
10,10,5,400,7000000,4773
10,10,10,400,7000000,7203
20,1,1,400,7000000,3308
20,1,5,400,7000000,3277
20,1,10,400,7000000,5888
20,5,1,400,7000000,2201
20,5,5,400,7000000,4687
20,5,10,400,7000000,7523
20,10,1,400,7000000,6306
20,10,5,400,7000000,5736
20,10,10,400,7000000,5391
30,1,1,400,7000000,3150
30,1,5,400,7000000,4030
30,1,10,400,7000000,4620
30,5,1,400,7000000,4446
30,5,5,400,7000000,7147
30,5,10,400,7000000,4837
30,10,1,400,7000000,6149
30,10,5,400,7000000,7322
30,10,10,400,7000000,8683
40,1,1,400,7000000,3382
40,1,5,400,7000000,4051
40,1,10,400,7000000,5179
40,5,1,400,7000000,4078
40,5,5,400,7000000,5716
40,5,10,400,7000000,7694
40,10,1,400,7000000,6062
40,10,5,400,7000000,8018
40,10,10,400,7000000,9456
50,1,1,400,7000000,3123
50,1,5,400,7000000,3626
50,1,10,400,7000000,5152
50,5,1,400,7000000,2533
50,5,5,400,7000000,4942
50,5,10,400,7000000,5063
50,10,1,400,7000000,3229
50,10,5,400,7000000,6913
50,10,10,400,7000000,9645
100,1,1,400,7000000,3190
100,1,5,400,7000000,4286
100,1,10,400,7000000,4748
100,5,1,400,7000000,3940
100,5,5,400,7000000,3799
100,5,10,400,7000000,6400
100,10,1,400,7000000,3373
100,10,5,400,7000000,6063
100,10,10,400,7000000,6668
10,1,1,800,7000000,3977
10,1,5,800,7000000,4131
10,1,10,800,7000000,7394
10,5,1,800,7000000,3883
10,5,5,800,7000000,5818
10,5,10,800,7000000,7924
10,10,1,800,7000000,10145
10,10,5,800,7000000,8890
10,10,10,800,7000000,6420
20,1,1,800,7000000,4090
20,1,5,800,7000000,5008
20,1,10,800,7000000,7835
20,5,1,800,7000000,4780
20,5,5,800,7000000,8060
20,5,10,800,7000000,6989
20,10,1,800,7000000,9522
20,10,5,800,7000000,6006
20,10,10,800,7000000,6593
30,1,1,800,7000000,3927
30,1,5,800,7000000,4752
30,1,10,800,7000000,9005
30,5,1,800,7000000,5363
30,5,5,800,7000000,5066
30,5,10,800,7000000,6718
30,10,1,800,7000000,8044
30,10,5,800,7000000,7059
30,10,10,800,7000000,10912
40,1,1,800,7000000,3949
40,1,5,800,7000000,4436
40,1,10,800,7000000,5867
40,5,1,800,7000000,4711
40,5,5,800,7000000,6942
40,5,10,800,7000000,6554
40,10,1,800,7000000,7346
40,10,5,800,7000000,8627
40,10,10,800,7000000,10551
50,1,1,800,7000000,4583
50,1,5,800,7000000,5101
50,1,10,800,7000000,6795
50,5,1,800,7000000,6296
50,5,5,800,7000000,5650
50,5,10,800,7000000,6198
50,10,1,800,7000000,8382
50,10,5,800,7000000,6978
50,10,10,800,7000000,7431
100,1,1,800,7000000,4076
100,1,5,800,7000000,4746
100,1,10,800,7000000,5671
100,5,1,800,7000000,3686
100,5,5,800,7000000,6672
100,5,10,800,7000000,6958
100,10,1,800,7000000,8291
100,10,5,800,7000000,9479
100,10,10,800,7000000,7071
